,Unnamed: 0,user_id,type,submitdate,positive_affect_score,negative_affect_score
0,1,1,panas,2021-07-26,37,14
1,2,1,panas,2021-05-31,38,12
2,3,1,panas,2021-06-07,37,12
3,4,1,panas,2021-06-28,31,12
4,5,1,panas,2021-07-19,37,12
5,0,2,panas,2021-11-29,28,35
6,1,2,panas,2021-12-06,32,21
7,2,2,panas,2021-12-13,26,17
8,4,2,panas,2022-01-10,27,12
9,5,2,panas,2022-01-05,33,21
10,6,2,panas,2022-01-07,26,16
11,0,3,panas,2021-06-07,28,20
12,1,3,panas,2021-06-22,33,19
13,2,3,panas,2021-07-17,26,40
14,3,3,panas,2021-07-30,24,20
15,4,3,panas,2021-06-30,35,23
16,0,7,panas,2021-05-31,30,12
17,1,7,panas,2021-06-07,29,13
18,2,7,panas,2021-06-22,30,15
19,3,7,panas,2021-07-05,28,31
20,4,7,panas,2021-07-13,29,24
21,5,7,panas,2021-07-26,29,24
22,6,7,panas,2021-06-15,31,15
23,7,7,panas,2021-06-28,30,11
24,8,7,panas,2021-07-20,25,32
25,0,9,panas,2021-06-08,31,26
26,1,9,panas,2021-06-14,28,18
27,2,9,panas,2021-06-23,19,29
28,3,9,panas,2021-06-29,18,28
29,4,9,panas,2021-08-02,18,26
30,5,9,panas,2021-06-01,30,18
31,6,9,panas,2021-07-15,27,27
32,0,10,panas,2021-05-31,21,13
33,1,10,panas,2021-06-20,38,16
34,2,10,panas,2021-06-22,40,15
35,3,10,panas,2021-06-28,39,17
36,4,10,panas,2021-07-06,32,26
37,5,10,panas,2021-07-13,35,16
38,6,10,panas,2021-07-19,38,23
39,7,10,panas,2021-06-08,32,17
40,8,10,panas,2021-07-30,43,18
41,0,11,panas,2021-12-12,30,45
42,1,11,panas,2021-12-26,43,26
43,2,11,panas,2022-01-16,43,31
44,3,11,panas,2021-11-28,40,29
45,4,11,panas,2022-01-09,39,36
46,0,12,panas,2021-06-07,37,16
47,2,12,panas,2021-06-28,25,27
48,3,12,panas,2021-07-12,29,22
49,4,12,panas,2021-07-20,27,17
50,5,12,panas,2021-07-26,28,14
51,6,12,panas,2021-05-31,35,17
52,7,12,panas,2021-06-22,35,19
53,8,12,panas,2021-07-05,32,21
54,0,13,panas,2021-05-31,24,21
55,1,13,panas,2021-07-05,33,21
56,2,13,panas,2021-07-20,20,18
57,3,13,panas,2021-07-26,28,15
58,4,13,panas,2021-06-24,27,13
59,0,14,panas,2021-12-13,21,20
60,1,14,panas,2021-12-28,22,25
61,2,14,panas,2021-11-29,19,27
62,3,14,panas,2021-12-01,16,35
63,4,14,panas,2021-12-06,21,19
64,5,14,panas,2021-12-20,21,16
65,6,14,panas,2022-01-03,18,17
66,7,14,panas,2022-01-10,16,21
67,0,15,panas,2021-12-20,30,22
68,1,15,panas,2021-12-13,29,22
69,2,15,panas,2021-12-27,29,20
70,3,15,panas,2022-01-03,32,21
71,4,15,panas,2022-01-10,32,22
72,0,16,panas,2021-06-01,32,14
73,1,16,panas,2021-06-20,33,24
74,2,16,panas,2021-06-08,33,13
75,3,16,panas,2021-06-29,32,17
76,4,16,panas,2021-07-13,33,13
77,10,16,panas,2021-07-26,27,18
78,4,17,panas,2021-11-22,32,36
79,5,17,panas,2021-06-07,39,22
80,6,17,panas,2021-05-31,40,24
81,7,17,panas,2021-08-28,36,22
82,8,17,panas,2021-12-13,39,33
83,0,21,panas,2021-06-04,45,16
84,1,21,panas,2021-06-14,49,12
85,2,21,panas,2021-06-22,47,22
86,3,21,panas,2021-08-01,36,16
87,4,21,panas,2021-07-05,42,17
88,5,21,panas,2021-07-19,44,19
89,6,21,panas,2021-07-26,33,32
90,0,22,panas,2021-11-29,30,24
91,1,22,panas,2021-12-06,27,24
92,2,22,panas,2021-12-20,29,19
93,3,22,panas,2021-11-23,26,21
94,4,22,panas,2021-12-13,28,23
95,5,22,panas,2021-12-28,37,19
96,6,22,panas,2022-01-03,27,17
97,7,22,panas,2022-01-10,27,16
98,0,23,panas,2021-07-31,30,21
99,1,23,panas,2021-06-06,28,35
100,2,23,panas,2021-06-14,24,27
101,3,23,panas,2021-07-05,33,22
102,0,25,panas,2021-12-27,33,19
103,1,25,panas,2022-01-04,17,31
104,2,25,panas,2021-11-22,36,22
105,0,26,panas,2022-01-11,28,35
106,1,26,panas,2021-11-22,30,28
107,2,26,panas,2021-11-29,29,31
108,3,26,panas,2021-12-14,37,32
109,4,26,panas,2021-12-20,33,32
110,5,26,panas,2021-12-27,29,31
111,0,27,panas,2021-05-31,34,13
112,1,27,panas,2021-06-23,34,15
113,0,30,panas,2021-11-22,41,23
114,1,30,panas,2021-11-29,42,18
115,2,30,panas,2021-12-12,30,25
116,3,30,panas,2021-12-20,39,22
117,4,30,panas,2022-01-03,25,25
118,5,30,panas,2022-01-11,37,20
119,0,31,panas,2021-11-27,43,13
120,1,31,panas,2021-12-20,46,13
121,2,31,panas,2022-01-09,49,12
122,3,31,panas,2022-01-17,45,10
123,4,31,panas,2021-12-06,48,16
124,5,31,panas,2021-12-31,42,11
125,0,32,panas,2021-07-01,34,28
126,1,32,panas,2021-07-12,35,29
127,2,32,panas,2021-06-07,27,37
128,3,32,panas,2021-06-28,22,41
129,4,32,panas,2021-07-19,36,27
130,5,32,panas,2021-07-26,39,24
131,0,33,panas,2021-05-31,40,28
132,1,33,panas,2021-09-19,46,27
133,0,34,panas,2021-05-31,30,23
134,1,34,panas,2021-06-28,37,17
135,2,34,panas,2021-06-07,29,11
136,3,34,panas,2021-06-14,31,14
137,4,34,panas,2021-06-21,36,21
138,5,34,panas,2021-07-05,33,19
139,6,34,panas,2021-07-12,33,20
140,7,34,panas,2021-07-19,32,17
141,8,34,panas,2021-07-26,35,22
142,0,35,panas,2021-06-07,35,40
143,1,35,panas,2021-06-14,33,42
144,2,35,panas,2021-06-24,30,36
145,3,35,panas,2021-07-26,27,38
146,4,35,panas,2021-05-31,32,33
147,5,35,panas,2021-06-28,27,39
148,6,35,panas,2021-07-05,37,32
149,7,35,panas,2021-07-12,34,40
150,8,35,panas,2021-07-19,29,31
151,0,37,panas,2021-07-06,29,15
152,1,37,panas,2021-07-12,20,24
153,2,37,panas,2021-05-31,35,24
154,3,37,panas,2021-06-07,28,19
155,4,37,panas,2021-06-14,28,16
156,5,37,panas,2021-06-21,24,13
157,6,37,panas,2021-06-28,21,16
158,0,38,panas,2021-11-23,39,27
159,1,38,panas,2021-12-27,30,12
160,2,38,panas,2021-12-13,37,32
161,3,38,panas,2022-01-25,40,21
162,0,39,panas,2021-12-09,31,26
163,2,39,panas,2022-01-10,30,20
164,3,39,panas,2021-11-23,32,33
165,4,39,panas,2021-11-30,36,32
166,5,39,panas,2021-12-23,28,20
167,6,39,panas,2021-12-29,28,19
168,7,39,panas,2022-01-04,30,20
169,0,40,panas,2021-06-02,28,19
170,0,41,panas,2021-11-23,34,25
171,0,42,panas,2021-11-27,37,19
172,0,43,panas,2021-06-07,18,13
173,2,43,panas,2021-05-31,29,17
174,3,43,panas,2021-06-22,20,14
175,4,43,panas,2021-07-05,20,15
176,5,43,panas,2021-07-12,20,15
177,6,43,panas,2021-07-20,19,15
178,7,43,panas,2021-07-29,13,12
179,0,44,panas,2021-07-20,27,29
180,1,44,panas,2021-06-07,27,35
181,0,45,panas,2021-11-22,45,15
182,1,45,panas,2021-11-29,42,12
183,2,45,panas,2021-12-14,39,12
184,3,45,panas,2021-12-20,44,13
185,4,45,panas,2021-12-27,45,11
186,5,45,panas,2022-01-03,44,11
187,6,45,panas,2022-01-12,45,13
188,7,45,panas,2021-12-06,41,12
189,1,46,panas,2021-07-12,47,16
190,2,46,panas,2021-07-19,48,10
191,3,46,panas,2021-06-14,39,33
192,4,46,panas,2021-06-21,42,19
193,5,46,panas,2021-06-28,42,27
194,6,46,panas,2021-07-26,35,14
195,0,47,panas,2021-11-24,32,12
196,1,47,panas,2021-11-30,35,14
197,2,47,panas,2021-12-06,29,13
198,3,47,panas,2022-01-10,22,20
199,4,47,panas,2021-12-24,30,19
200,5,47,panas,2022-01-06,15,20
201,0,48,panas,2021-06-21,28,15
202,1,48,panas,2021-06-28,27,17
203,2,48,panas,2021-07-12,35,16
204,3,48,panas,2021-06-03,29,14
205,0,50,panas,2021-05-31,12,15
206,1,50,panas,2021-06-10,23,14
207,2,50,panas,2021-06-28,29,17
208,3,50,panas,2021-07-05,32,18
209,4,50,panas,2021-07-20,26,15
210,5,50,panas,2021-07-28,24,32
211,6,50,panas,2021-06-22,26,28
212,7,50,panas,2021-07-12,29,17
213,0,54,panas,2021-11-24,32,23
214,1,54,panas,2021-12-14,23,34
215,2,54,panas,2021-12-23,29,19
216,3,54,panas,2022-01-12,25,13
217,0,56,panas,2021-07-05,39,29
218,1,56,panas,2021-07-19,37,26
219,2,56,panas,2021-05-31,42,18
220,3,56,panas,2021-06-09,36,26
221,4,56,panas,2021-06-22,37,27
222,0,57,panas,2021-06-02,24,25
223,8,58,panas,2021-06-07,36,12
224,9,58,panas,2021-06-20,29,10
225,10,58,panas,2021-06-30,28,10
226,12,58,panas,2021-07-26,33,12
227,0,60,panas,2021-06-14,31,18
228,1,60,panas,2021-07-26,37,10
229,2,60,panas,2021-08-02,35,11
230,0,61,panas,2022-01-03,26,15
231,1,61,panas,2021-11-24,48,12
232,2,61,panas,2021-12-10,44,19
233,3,61,panas,2022-01-10,41,12
234,0,63,panas,2021-06-27,31,13
235,1,63,panas,2021-07-04,30,13
236,2,63,panas,2021-07-11,29,13
237,3,63,panas,2021-08-01,33,14
238,0,64,panas,2021-11-22,30,23
239,1,64,panas,2021-12-06,23,24
240,2,64,panas,2021-12-13,17,27
241,3,64,panas,2022-01-04,18,27
242,4,64,panas,2022-01-10,16,27
243,5,64,panas,2021-12-20,26,22
244,0,65,panas,2021-11-29,25,27
245,1,65,panas,2021-12-14,30,18
246,2,65,panas,2021-12-23,28,21
247,3,65,panas,2022-01-07,30,22
248,4,65,panas,2021-11-24,33,23
249,5,65,panas,2022-01-17,27,21
250,0,67,panas,2021-05-31,44,16
251,1,67,panas,2021-06-23,38,13
252,2,67,panas,2021-06-30,32,21
253,3,67,panas,2021-07-06,38,18
254,0,69,panas,2021-05-31,32,27
255,1,69,panas,2021-06-07,27,37
256,2,69,panas,2021-06-21,17,27
257,3,69,panas,2021-06-28,28,24
258,4,69,panas,2021-07-05,36,17
259,5,69,panas,2021-07-12,34,18
260,6,69,panas,2021-07-20,40,17
261,7,69,panas,2021-07-26,24,27
262,0,70,panas,2021-12-20,31,29
263,1,70,panas,2022-01-02,30,33
264,0,71,panas,2021-06-01,27,29
265,1,71,panas,2021-06-08,30,30
266,2,71,panas,2021-06-22,30,30
267,3,71,panas,2021-07-06,30,29
